Speed (Without Acceleration),Angle Speed,Ticks per Step (First),Ticks per Step (Periodic),Ticks per Step (Average),Steps per Second,Angles Before Gravity (Average),Angles Before Reset (Average)
6244,3787,,7,7.0,4.29,54018,108663
6245,3788,,7,7.0,4.29,54032,108690
6246,3789,,7,7.0,4.29,54046,108717
6247,3790,,7,7.0,4.29,54056,108738
6248,3791,,7,7.0,4.29,54070,108765
6249,3792,,7,7.0,4.29,54084,108792
6250,3793,,7,7.0,4.29,54098,108819
6251,3794,,7,7.0,4.29,54108,108840
6252,3795,,7,7.0,4.29,54122,108867
6253,3796,,7,7.0,4.29,54136,108894
6254,3797,,7,7.0,4.29,54150,108921
6255,3798,,7,7.0,4.29,54164,108948
6256,3799,,7,7.0,4.29,54174,108969
6257,3800,,7,7.0,4.29,54188,108996
6258,3801,,7,7.0,4.29,54202,109023
6259,3802,,7,7.0,4.29,54216,109050
6260,3803,,7,7.0,4.29,54226,109071
6261,3804,,7,7.0,4.29,54240,109098
6262,3805,,7,7.0,4.29,54254,109125
6263,3806,,7,7.0,4.29,54268,109152
6264,3807,,7,7.0,4.29,54282,109179
6265,3808,,7,7.0,4.29,54292,109200
6266,3809,,7,7.0,4.29,54306,109227
6267,3810,,7,7.0,4.29,54320,109254
6268,3811,,7,7.0,4.29,54334,109281
6269,3812,,7,7.0,4.29,54344,109302
6270,3813,,7,7.0,4.29,54358,109329
6271,3814,,7,7.0,4.29,54372,109356
6272,3815,,7,7.0,4.29,54386,109383
6273,3816,,7,7.0,4.29,54400,109410
6274,3817,,7,7.0,4.29,54410,109431
6275,3818,,7,7.0,4.29,54424,109458
6276,3819,,7,7.0,4.29,54438,109485
6277,3820,,7,7.0,4.29,54452,109512
6278,3821,,7,7.0,4.29,54462,109533
6279,3822,,7,7.0,4.29,54476,109560
6280,3823,,7,7.0,4.29,54490,109587
6281,3824,,7,7.0,4.29,54504,109614
6282,3825,,7,7.0,4.29,54518,109641
6283,3826,,7,7.0,4.29,54528,109662
6284,3827,,7,7.0,4.29,54542,109689
6285,3828,,7,7.0,4.29,54556,109716
6286,3829,,7,7.0,4.29,54570,109743
6287,3830,,7,7.0,4.29,54580,109764
6288,3831,,7,7.0,4.29,54594,109791
6289,3832,,7,7.0,4.29,54608,109818
6290,3833,,7,7.0,4.29,54622,109845
6291,3834,,7,7.0,4.29,54636,109872
6292,3835,,7,7.0,4.29,54646,109893
6293,3836,,7,7.0,4.29,54660,109920
6294,3837,,7,7.0,4.29,54674,109947
6295,3838,,7,7.0,4.29,54688,109974
6296,3839,,7,7.0,4.29,54698,109995
6297,3840,,7,7.0,4.29,54712,110022
6298,3841,,7,7.0,4.29,54726,110049
6299,3842,,7,7.0,4.29,54740,110076
6300,3843,,7,7.0,4.29,54754,110103
6301,3844,,7,7.0,4.29,54764,110124
6302,3845,,7,7.0,4.29,54778,110151
6303,3846,,7,7.0,4.29,54792,110178
6304,3847,,7,7.0,4.29,54806,110205
6305,3848,,7,7.0,4.29,54816,110226
6306,3849,,7,7.0,4.29,54830,110253
6307,3850,,7,7.0,4.29,54844,110280
6308,3851,,7,7.0,4.29,54858,110307
6309,3852,,7,7.0,4.29,54872,110334
6310,3853,,7,7.0,4.29,54882,110355
6311,3854,,7,7.0,4.29,54896,110382
6312,3855,,7,7.0,4.29,54910,110409
6313,3856,,7,7.0,4.29,54924,110436
6314,3857,,7,7.0,4.29,54934,110457
6315,3858,,7,7.0,4.29,54948,110484
6316,3859,,7,7.0,4.29,54962,110511
6317,3860,,7,7.0,4.29,54976,110538
6318,3861,,7,7.0,4.29,54990,110565
6319,3862,,7,7.0,4.29,55000,110586
6320,3863,6,7,7.0,4.29,55014,110613
6321,3864,6,7,7.0,4.29,55028,110640
