Speed (Without Acceleration),Angle Speed,Ticks per Step (First),Ticks per Step (Periodic),Ticks per Step (Average),Steps per Second,Angles Before Gravity (Average),Angles Before Reset (Average)
2458,1,"330, 28, 27",26,26.0,1.15,54850,117765
2459,2,"235, 28",26,26.0,1.15,55120,118165
2460,3,"192, 28",26,26.0,1.15,55390,118565
2461,4,"167, 28",26,26.0,1.15,55660,118965
2462,5,"150, 28",26,26.0,1.15,55930,119365
2463,6,"137, 27",26,26.0,1.15,56200,119765
2464,7,"127, 27",26,26.0,1.15,56470,120165
2465,8,"119, 27",26,26.0,1.15,56740,120565
2466,9,"113, 27",26,26.0,1.15,56990,120940
2467,10,"107, 27",26,26.0,1.15,57260,121340
2468,11,"102, 27, 26",25,25.0,1.2,54530,118680
2469,12,"98, 27",25,25.0,1.2,54777,119052
2470,13,"95, 27",25,25.0,1.2,55024,119424
2471,14,"91, 26",25,25.0,1.2,55252,119772
2472,15,"88, 26",25,25.0,1.2,55499,120144
2473,16,"86, 26",25,25.0,1.2,55746,120516
2474,17,"83, 26",25,25.0,1.2,55993,120888
2475,18,"81, 26",25,25.0,1.2,56221,121236
2476,19,"79, 26",25,25.0,1.2,56468,121608
2477,20,"77, 26",25,25.0,1.2,56715,121980
2478,21,"75, 26",25,25.0,1.2,56962,122352
2479,22,"74, 26",25,25.0,1.2,57209,122724
2480,23,"72, 26, 25",24,24.0,1.25,54171,119681
2481,24,"71, 25",24,24.0,1.25,54378,120003
2482,25,"69, 25",24,24.0,1.25,54603,120348
2483,26,"68, 25",24,24.0,1.25,54828,120693
2484,27,"67, 25",24,24.0,1.25,55035,121015
2485,28,"66, 25",24,24.0,1.25,55260,121360
2486,29,"65, 25",24,24.0,1.25,55485,121705
2487,30,"64, 25",24,24.0,1.25,55692,122027
2488,31,"63, 25",24,24.0,1.25,55917,122372
2489,32,"62, 25",24,24.0,1.25,56142,122717
2490,33,"61, 25",24,24.0,1.25,56349,123039
2491,34,"60, 25",24,24.0,1.25,56574,123384
2492,35,"59, 25",24,24.0,1.25,56799,123729
2493,36,58,24,24.0,1.25,57006,124051
2494,37,58,24,24.0,1.25,57231,124396
2495,38,"57, 24, 24",23,23.0,1.3,53873,120948
2496,39,"56, 24",23,23.0,1.3,54060,121245
2497,40,"56, 24",23,23.0,1.3,54264,121564
2498,41,"55, 24",23,23.0,1.3,54451,121861
2499,42,"54, 24",23,23.0,1.3,54655,122180
2500,43,"54, 24",23,23.0,1.3,54842,122477
2501,44,"53, 24",23,23.0,1.3,55046,122796
2502,45,"53, 24",23,23.0,1.3,55233,123093
2503,46,"52, 24",23,23.0,1.3,55437,123412
2504,47,"52, 24",23,23.0,1.3,55641,123731
2505,48,"51, 24",23,23.0,1.3,55828,124028
2506,49,"51, 24",23,23.0,1.3,56032,124347
2507,50,50,23,23.0,1.3,56219,124644
2508,51,50,23,23.0,1.3,56423,124963
2509,52,49,23,23.0,1.3,56610,125260
2510,53,49,23,23.0,1.3,56814,125579
2511,54,48,23,23.0,1.3,57001,125876
2512,55,48,23,23.0,1.3,57205,126195
2513,56,"48, 23","23, 22",22.5,1.33,55437,124385
2514,57,"47, 23",22,22.0,1.36,53656,122556
2515,58,"47, 23",22,22.0,1.36,53824,122829
2516,59,"46, 23",22,22.0,1.36,54008,123123
2517,60,"46, 23",22,22.0,1.36,54176,123396
2518,61,"46, 23",22,22.0,1.36,54360,123690
2519,62,"45, 23",22,22.0,1.36,54528,123963
2520,63,"45, 23",22,22.0,1.36,54696,124236
2521,64,"45, 23",22,22.0,1.36,54880,124530
2522,65,"44, 23",22,22.0,1.36,55048,124803
2523,66,"44, 23",22,22.0,1.36,55232,125097
2524,67,"44, 23",22,22.0,1.36,55400,125370
2525,68,44,22,22.0,1.36,55584,125664
2526,69,43,22,22.0,1.36,55752,125937
2527,70,43,22,22.0,1.36,55936,126231
2528,71,43,22,22.0,1.36,56104,126504
2529,72,42,22,22.0,1.36,56272,126777
2530,73,"42, 22","22, 21, 24",22.33,1.34,56044,117975
2531,74,42,"22, 21, 24",22.33,1.34,56230,118263
2532,75,42,"22, 21, 24",22.33,1.34,56423,118559
2533,76,"41, 22","21, 24",22.5,1.33,56423,114329
2534,77,"41, 22","21, 24",22.5,1.33,56618,114625
2535,78,"41, 22","21, 24",22.5,1.33,56823,114933
2536,79,"41, 22","21, 24",22.5,1.33,57010,115219
2537,80,"40, 22",21,21.0,1.43,53340,124260
2538,81,"40, 22",21,21.0,1.43,53490,124510
2539,82,"40, 22",21,21.0,1.43,53655,124780
2540,83,40,21,21.0,1.43,53805,125030
2541,84,40,21,21.0,1.43,53955,125280
2542,85,39,21,21.0,1.43,54120,125550
2543,86,39,21,21.0,1.43,54270,125800
2544,87,39,21,21.0,1.43,54420,126050
2545,88,39,21,21.0,1.43,54585,126320
2546,89,39,21,21.0,1.43,54735,126570
2547,90,38,21,21.0,1.43,54885,126820
2548,91,"38, 21","21, 20, 23",21.33,1.41,54998,118310
2549,92,38,"21, 20, 23",21.33,1.41,55160,118568
2550,93,38,"21, 20, 23",21.33,1.41,55328,118833
2551,94,"38, 21","20, 23",21.5,1.4,55491,114739
2552,95,"37, 21","20, 22, 23",21.67,1.38,55649,110722
2553,96,"37, 21","20, 22, 23",21.67,1.38,55823,110988
2554,97,"37, 21","20, 22, 22, 23",21.75,1.38,56006,109133
2555,98,"37, 21, 20",22,22.0,1.36,56185,103005
2556,99,"37, 21, 20",22,22.0,1.36,56389,103299
2557,100,"37, 21, 20",22,22.0,1.36,56576,103572
2558,101,"36, 21, 20",22,22.0,1.36,56763,103845
2559,102,"36, 20",22,22.0,1.36,56967,104139
2560,103,36,"20, 22",21.0,1.43,54871,114700
2561,104,36,"20, 22",21.0,1.43,55030,114951
2562,105,36,"20, 22",21.0,1.43,55197,115212
2563,106,36,"20, 22",21.0,1.43,55363,115472
2564,107,36,"20, 22",21.0,1.43,55522,115722
2565,108,35,"20, 22",21.0,1.43,55689,115982
2566,109,35,"20, 22",21.0,1.43,55856,116243
2567,110,35,20,20.0,1.5,53186,126546
2568,111,35,20,20.0,1.5,53319,126774
2569,112,"35, 20","21, 22, 20, 20, 19",20.4,1.47,53828,116912
2570,113,"35, 20","21, 22, 20, 19",20.5,1.46,54076,114634
2571,114,"35, 20","21, 21, 22, 20, 19",20.6,1.46,54325,112387
2572,115,"34, 20",21,21.0,1.43,54872,102674
2573,116,"34, 20",21,21.0,1.43,55040,102924
2574,117,"34, 20",21,21.0,1.43,55224,103194
2575,118,"34, 20",21,21.0,1.43,55392,103444
2576,119,"34, 20, 19",21,21.0,1.43,55560,103694
2577,120,"34, 20, 19",21,21.0,1.43,55744,103964
2578,121,"34, 20, 19",21,21.0,1.43,55912,104214
2579,122,"34, 19",21,21.0,1.43,56080,104464
2580,123,"33, 19",21,21.0,1.43,56264,104734
2581,124,"33, 19",21,21.0,1.43,56432,104984
2582,125,"33, 19",21,21.0,1.43,56600,105234
2583,126,"33, 19",21,21.0,1.43,56784,105504
2584,127,"33, 19",21,21.0,1.43,56952,105754
2585,128,33,"19, 21",20.0,1.5,54027,115540
2586,129,33,"19, 21",20.0,1.5,54168,115768
2587,130,33,"19, 21",20.0,1.5,54317,116006
2588,131,33,"19, 21",20.0,1.5,54458,116234
2589,132,"32, 19","21, 19, 20",20.0,1.5,54071,111514
2590,133,32,"19, 20, 21",20.0,1.5,54215,111742
2591,134,"32, 19","20, 21, 19, 20",20.0,1.5,54097,109502
2592,135,"32, 19",20,20.0,1.5,53460,102330
2593,136,"32, 19",20,20.0,1.5,53610,102558
2594,137,"32, 19",20,20.0,1.5,53760,102786
2595,138,"32, 19",20,20.0,1.5,53910,103014
2596,139,"32, 19",20,20.0,1.5,54060,103242
2597,140,"31, 21, 19",20,20.0,1.5,54225,103489
2598,141,"31, 19",20,20.0,1.5,54375,103717
2599,142,"31, 19",20,20.0,1.5,54525,103945
2600,143,"31, 19",20,20.0,1.5,54675,104173
2601,144,"31, 19",20,20.0,1.5,54840,104420
2602,145,"31, 19",20,20.0,1.5,54990,104648
2603,146,"31, 19",20,20.0,1.5,55140,104876
2604,147,"31, 19",20,20.0,1.5,55290,105104
2605,148,"31, 19",20,20.0,1.5,55440,105332
2606,149,30,20,20.0,1.5,55605,105579
2607,150,30,20,20.0,1.5,55755,105807
2608,151,30,20,20.0,1.5,55905,106035
2609,152,"30, 19",20,20.0,1.5,56055,106263
2610,153,"30, 19",20,20.0,1.5,56220,106510
2611,154,"30, 19",20,20.0,1.5,56370,106738
2612,155,"30, 18",20,20.0,1.5,56520,106966
2613,156,"30, 18",20,20.0,1.5,56670,107194
2614,157,"30, 18",20,20.0,1.5,56820,107422
2615,158,"30, 18",20,20.0,1.5,56985,107669
2616,159,29,20,20.0,1.5,57135,107897
2617,160,29,20,20.0,1.5,57285,108125
2618,161,"29, 20","20, 19",19.5,1.54,54830,105392
2619,162,"29, 20","19, 20, 19",19.33,1.55,54105,104624
2620,163,"29, 20",19,19.0,1.58,52507,102861
2621,164,"29, 18",19,19.0,1.58,52640,103068
2622,165,"29, 18",19,19.0,1.58,52773,103275
2623,166,"29, 18",19,19.0,1.58,52906,103482
2624,167,"29, 18",19,19.0,1.58,53039,103689
2625,168,"29, 18",19,19.0,1.58,53172,103896
2626,169,"29, 18",19,19.0,1.58,53305,104103
2627,170,"28, 20",19,19.0,1.58,53438,104310
2628,171,28,19,19.0,1.58,53571,104517
2629,172,28,19,19.0,1.58,53718,104742
2630,173,28,19,19.0,1.58,53851,104949
2631,174,28,19,19.0,1.58,53984,105156
2632,175,28,19,19.0,1.58,54117,105363
2633,176,28,19,19.0,1.58,54250,105570
2634,177,28,19,19.0,1.58,54383,105777
2635,178,"28, 18",19,19.0,1.58,54516,105984
2636,179,"28, 18",19,19.0,1.58,54649,106191
2637,180,"28, 18",19,19.0,1.58,54796,106416
2638,181,"28, 18",19,19.0,1.58,54929,106623
2639,182,27,19,19.0,1.58,55062,106830
2640,183,27,19,19.0,1.58,55195,107037
2641,184,27,19,19.0,1.58,55328,107244
2642,185,27,19,19.0,1.58,55461,107451
2643,186,27,19,19.0,1.58,55594,107658
2644,187,27,19,19.0,1.58,55727,107865
2645,188,27,19,19.0,1.58,55860,108072
2646,189,27,19,19.0,1.58,55993,108279
2647,190,27,19,19.0,1.58,56140,108504
2648,191,27,19,19.0,1.58,56273,108711
2649,192,27,19,19.0,1.58,56406,108918
2650,193,"27, 18",19,19.0,1.58,56539,109125
2651,194,"27, 18",19,19.0,1.58,56672,109332
2652,195,"27, 18",19,19.0,1.58,56805,109539
2653,196,26,19,19.0,1.58,56938,109746
2654,197,26,19,19.0,1.58,57071,109953
2655,198,26,19,19.0,1.58,57204,110160
2656,199,26,"19, 19, 19, 18",18.75,1.6,55923,108735
2657,200,"26, 19","19, 18",18.5,1.62,54628,107292
2658,201,26,"19, 18",18.5,1.62,54753,107489
2659,202,"26, 19",18,18.0,1.67,52026,104386
2660,203,"26, 19",18,18.0,1.67,52143,104573
2661,204,"26, 19",18,18.0,1.67,52260,104760
2662,205,"26, 19",18,18.0,1.67,52377,104947
2663,206,"26, 19",18,18.0,1.67,52494,105134
2664,207,"26, 19",18,18.0,1.67,52611,105321
2665,208,"26, 19",18,18.0,1.67,52728,105508
2666,209,26,18,18.0,1.67,52832,105678
2667,210,26,18,18.0,1.67,52949,105865
2668,211,25,18,18.0,1.67,53066,106052
2669,212,25,18,18.0,1.67,53183,106239
2670,213,25,18,18.0,1.67,53300,106426
2671,214,25,18,18.0,1.67,53417,106613
2672,215,25,18,18.0,1.67,53534,106800
2673,216,25,18,18.0,1.67,53651,106987
2674,217,25,18,18.0,1.67,53768,107174
2675,218,25,18,18.0,1.67,53885,107361
2676,219,25,18,18.0,1.67,54002,107548
2677,220,25,18,18.0,1.67,54119,107735
2678,221,25,18,18.0,1.67,54236,107922
2679,222,25,18,18.0,1.67,54353,108109
2680,223,25,18,18.0,1.67,54470,108296
2681,224,25,18,18.0,1.67,54587,108483
2682,225,25,18,18.0,1.67,54704,108670
2683,226,25,18,18.0,1.67,54821,108857
2684,227,25,18,18.0,1.67,54938,109044
2685,228,25,18,18.0,1.67,55055,109231
2686,229,25,18,18.0,1.67,55172,109418
2687,230,25,18,18.0,1.67,55289,109605
2688,231,24,18,18.0,1.67,55406,109792
2689,232,24,18,18.0,1.67,55523,109979
2690,233,24,18,18.0,1.67,55640,110166
2691,234,24,18,18.0,1.67,55757,110353
2692,235,24,18,18.0,1.67,55874,110540
2693,236,24,18,18.0,1.67,55991,110727
2694,237,24,18,18.0,1.67,56108,110914
2695,238,24,18,18.0,1.67,56225,111101
2696,239,24,18,18.0,1.67,56342,111288
2697,240,24,18,18.0,1.67,56459,111475
2698,241,24,18,18.0,1.67,56576,111662
2699,242,24,18,18.0,1.67,56693,111849
2700,243,24,18,18.0,1.67,56810,112036
2701,244,24,18,18.0,1.67,56927,112223
2702,245,24,18,18.0,1.67,57044,112410
2703,246,24,18,18.0,1.67,57161,112597
2704,247,24,18,18.0,1.67,57278,112784
2705,248,"24, 18","18, 17",17.5,1.71,54269,109295
2706,249,24,"18, 17",17.5,1.71,54378,109472
2707,250,24,"18, 17",17.5,1.71,54488,109650
2708,251,"24, 18",17,17.0,1.76,51474,106148
2709,252,"24, 18",17,17.0,1.76,51576,106316
2710,253,"24, 18",17,17.0,1.76,51666,106468
2711,254,"23, 18",17,17.0,1.76,51768,106636
2712,255,"23, 18",17,17.0,1.76,51870,106804
2713,256,"23, 18",17,17.0,1.76,51972,106972
2714,257,"23, 18",17,17.0,1.76,52074,107140
2715,258,"23, 18",17,17.0,1.76,52176,107308
2716,259,"23, 18",17,17.0,1.76,52278,107476
2717,260,"23, 18",17,17.0,1.76,52380,107644
2718,261,23,17,17.0,1.76,52470,107796
2719,262,23,17,17.0,1.76,52572,107964
2720,263,23,17,17.0,1.76,52674,108132
2721,264,23,17,17.0,1.76,52776,108300
2722,265,23,17,17.0,1.76,52878,108468
2723,266,23,17,17.0,1.76,52980,108636
2724,267,23,17,17.0,1.76,53082,108804
2725,268,23,17,17.0,1.76,53184,108972
2726,269,23,17,17.0,1.76,53286,109140
2727,270,23,17,17.0,1.76,53376,109292
2728,271,23,17,17.0,1.76,53478,109460
2729,272,23,17,17.0,1.76,53580,109628
2730,273,23,17,17.0,1.76,53682,109796
2731,274,23,17,17.0,1.76,53784,109964
2732,275,23,17,17.0,1.76,53886,110132
2733,276,23,17,17.0,1.76,53988,110300
2734,277,23,17,17.0,1.76,54090,110468
2735,278,23,17,17.0,1.76,54192,110636
2736,279,23,17,17.0,1.76,54282,110788
2737,280,23,17,17.0,1.76,54384,110956
2738,281,22,17,17.0,1.76,54486,111124
2739,282,22,17,17.0,1.76,54588,111292
2740,283,22,17,17.0,1.76,54690,111460
2741,284,22,17,17.0,1.76,54792,111628
2742,285,22,17,17.0,1.76,54894,111796
2743,286,22,17,17.0,1.76,54996,111964
2744,287,22,17,17.0,1.76,55098,112132
2745,288,22,17,17.0,1.76,55188,112284
2746,289,22,17,17.0,1.76,55290,112452
2747,290,22,17,17.0,1.76,55392,112620
2748,291,22,17,17.0,1.76,55494,112788
2749,292,22,17,17.0,1.76,55596,112956
2750,293,22,17,17.0,1.76,55698,113124
2751,294,22,17,17.0,1.76,55800,113292
2752,295,22,17,17.0,1.76,55902,113460
2753,296,22,17,17.0,1.76,56004,113628
2754,297,22,17,17.0,1.76,56094,113780
2755,298,22,17,17.0,1.76,56196,113948
2756,299,22,17,17.0,1.76,56298,114116
2757,300,22,17,17.0,1.76,56400,114284
2758,301,22,17,17.0,1.76,56502,114452
2759,302,22,17,17.0,1.76,56604,114620
2760,303,22,17,17.0,1.76,56706,114788
2761,304,22,17,17.0,1.76,56808,114956
2762,305,22,17,17.0,1.76,56910,115124
2763,306,22,17,17.0,1.76,57000,115276
2764,307,22,17,17.0,1.76,57102,115444
2765,308,22,17,17.0,1.76,57204,115612
2766,309,22,17,17.0,1.76,57306,115780
2767,310,"22, 17","17, 16",16.5,1.82,53961,111813
2768,311,22,"17, 16",16.5,1.82,54056,111972
2769,312,21,"17, 16",16.5,1.82,54145,112123
2770,313,21,"17, 16",16.5,1.82,54240,112282
2771,314,"21, 17",16,16.0,1.88,50886,108294
2772,315,"21, 17",16,16.0,1.88,50974,108444
2773,316,"21, 17",16,16.0,1.88,51051,108579
2774,317,"21, 17",16,16.0,1.88,51139,108729
2775,318,"21, 17",16,16.0,1.88,51227,108879
2776,319,"21, 17",16,16.0,1.88,51315,109029
2777,320,"21, 17",16,16.0,1.88,51392,109164
2778,321,"21, 17",16,16.0,1.88,51480,109314
2779,322,"21, 17",16,16.0,1.88,51568,109464
2780,323,"21, 17",16,16.0,1.88,51656,109614
2781,324,21,16,16.0,1.88,51733,109749
2782,325,21,16,16.0,1.88,51821,109899
2783,326,21,16,16.0,1.88,51909,110049
2784,327,21,16,16.0,1.88,51997,110199
2785,328,21,16,16.0,1.88,52085,110349
2786,329,21,16,16.0,1.88,52162,110484
2787,330,21,16,16.0,1.88,52250,110634
2788,331,21,16,16.0,1.88,52338,110784
2789,332,21,16,16.0,1.88,52426,110934
2790,333,21,16,16.0,1.88,52503,111069
2791,334,21,16,16.0,1.88,52591,111219
2792,335,21,16,16.0,1.88,52679,111369
2793,336,21,16,16.0,1.88,52767,111519
2794,337,21,16,16.0,1.88,52855,111669
2795,338,21,16,16.0,1.88,52932,111804
2796,339,21,16,16.0,1.88,53020,111954
2797,340,21,16,16.0,1.88,53108,112104
2798,341,21,16,16.0,1.88,53196,112254
2799,342,21,16,16.0,1.88,53273,112389
2800,343,21,16,16.0,1.88,53361,112539
2801,344,21,16,16.0,1.88,53449,112689
2802,345,21,16,16.0,1.88,53537,112839
2803,346,21,16,16.0,1.88,53625,112989
2804,347,21,16,16.0,1.88,53702,113124
2805,348,21,16,16.0,1.88,53790,113274
2806,349,20,16,16.0,1.88,53878,113424
2807,350,20,16,16.0,1.88,53966,113574
2808,351,20,16,16.0,1.88,54043,113709
2809,352,20,16,16.0,1.88,54131,113859
2810,353,20,16,16.0,1.88,54219,114009
2811,354,20,16,16.0,1.88,54307,114159
2812,355,20,16,16.0,1.88,54395,114309
2813,356,20,16,16.0,1.88,54472,114444
2814,357,20,16,16.0,1.88,54560,114594
2815,358,20,16,16.0,1.88,54648,114744
2816,359,20,16,16.0,1.88,54736,114894
2817,360,20,16,16.0,1.88,54813,115029
2818,361,20,16,16.0,1.88,54901,115179
2819,362,20,16,16.0,1.88,54989,115329
2820,363,20,16,16.0,1.88,55077,115479
2821,364,20,16,16.0,1.88,55165,115629
2822,365,20,16,16.0,1.88,55242,115764
2823,366,20,16,16.0,1.88,55330,115914
2824,367,20,16,16.0,1.88,55418,116064
2825,368,20,16,16.0,1.88,55506,116214
2826,369,20,16,16.0,1.88,55583,116349
2827,370,20,16,16.0,1.88,55671,116499
2828,371,20,16,16.0,1.88,55759,116649
2829,372,20,16,16.0,1.88,55847,116799
2830,373,20,16,16.0,1.88,55935,116949
2831,374,20,16,16.0,1.88,56012,117084
2832,375,20,16,16.0,1.88,56100,117234
2833,376,20,16,16.0,1.88,56188,117384
2834,377,20,16,16.0,1.88,56276,117534
2835,378,20,16,16.0,1.88,56353,117669
2836,379,20,16,16.0,1.88,56441,117819
2837,380,20,16,16.0,1.88,56529,117969
2838,381,20,16,16.0,1.88,56617,118119
2839,382,20,16,16.0,1.88,56705,118269
2840,383,20,16,16.0,1.88,56782,118404
2841,384,20,16,16.0,1.88,56870,118554
2842,385,20,16,16.0,1.88,56958,118704
2843,386,20,16,16.0,1.88,57046,118854
2844,387,20,16,16.0,1.88,57123,118989
2845,388,20,16,16.0,1.88,57211,119139
2846,389,20,16,16.0,1.88,57299,119289
2847,390,20,"16, 16, 15",15.67,1.91,54837,116310
2848,391,20,"16, 15",15.5,1.94,53645,114889
2849,392,19,"16, 15",15.5,1.94,53721,115023
2850,393,19,"16, 15",15.5,1.94,53797,115157
2851,394,19,"16, 15",15.5,1.94,53879,115299
2852,395,19,"16, 15, 15",15.33,1.96,52684,113870
2853,396,"19, 16",15,15.0,2.0,50220,110880
2854,397,"19, 16",15,15.0,2.0,50285,110999
2855,398,"19, 16",15,15.0,2.0,50360,111132
2856,399,"19, 16",15,15.0,2.0,50435,111265
2857,400,"19, 16",15,15.0,2.0,50500,111384
2858,401,"19, 16",15,15.0,2.0,50575,111517
2859,402,"19, 16",15,15.0,2.0,50650,111650
2860,403,"19, 16",15,15.0,2.0,50715,111769
2861,404,"19, 16",15,15.0,2.0,50790,111902
2862,405,"19, 16",15,15.0,2.0,50865,112035
2863,406,"19, 16",15,15.0,2.0,50930,112154
2864,407,19,15,15.0,2.0,51005,112287
2865,408,19,15,15.0,2.0,51070,112406
2866,409,19,15,15.0,2.0,51145,112539
2867,410,19,15,15.0,2.0,51220,112672
2868,411,19,15,15.0,2.0,51285,112791
2869,412,19,15,15.0,2.0,51360,112924
2870,413,19,15,15.0,2.0,51435,113057
2871,414,19,15,15.0,2.0,51500,113176
2872,415,19,15,15.0,2.0,51575,113309
2873,416,19,15,15.0,2.0,51650,113442
2874,417,19,15,15.0,2.0,51715,113561
2875,418,19,15,15.0,2.0,51790,113694
2876,419,19,15,15.0,2.0,51865,113827
2877,420,19,15,15.0,2.0,51930,113946
2878,421,19,15,15.0,2.0,52005,114079
2879,422,19,15,15.0,2.0,52080,114212
2880,423,19,15,15.0,2.0,52145,114331
2881,424,19,15,15.0,2.0,52220,114464
2882,425,19,15,15.0,2.0,52295,114597
2883,426,19,15,15.0,2.0,52360,114716
2884,427,19,15,15.0,2.0,52435,114849
2885,428,19,15,15.0,2.0,52510,114982
2886,429,19,15,15.0,2.0,52575,115101
2887,430,19,15,15.0,2.0,52650,115234
2888,431,19,15,15.0,2.0,52725,115367
2889,432,19,15,15.0,2.0,52790,115486
2890,433,19,15,15.0,2.0,52865,115619
2891,434,19,15,15.0,2.0,52940,115752
2892,435,19,15,15.0,2.0,53005,115871
2893,436,19,15,15.0,2.0,53080,116004
2894,437,19,15,15.0,2.0,53155,116137
2895,438,19,15,15.0,2.0,53220,116256
2896,439,19,15,15.0,2.0,53295,116389
2897,440,19,15,15.0,2.0,53370,116522
2898,441,19,15,15.0,2.0,53435,116641
2899,442,19,15,15.0,2.0,53510,116774
2900,443,19,15,15.0,2.0,53585,116907
2901,444,18,15,15.0,2.0,53650,117026
2902,445,18,15,15.0,2.0,53725,117159
2903,446,18,15,15.0,2.0,53800,117292
2904,447,18,15,15.0,2.0,53865,117411
2905,448,18,15,15.0,2.0,53940,117544
2906,449,18,15,15.0,2.0,54015,117677
2907,450,18,15,15.0,2.0,54080,117796
2908,451,18,15,15.0,2.0,54155,117929
2909,452,18,15,15.0,2.0,54230,118062
2910,453,18,15,15.0,2.0,54295,118181
2911,454,18,15,15.0,2.0,54370,118314
2912,455,18,15,15.0,2.0,54445,118447
2913,456,18,15,15.0,2.0,54510,118566
2914,457,18,15,15.0,2.0,54585,118699
2915,458,18,15,15.0,2.0,54660,118832
2916,459,18,15,15.0,2.0,54725,118951
2917,460,18,15,15.0,2.0,54800,119084
2918,461,18,15,15.0,2.0,54875,119217
2919,462,18,15,15.0,2.0,54940,119336
2920,463,18,15,15.0,2.0,55015,119469
2921,464,18,15,15.0,2.0,55090,119602
2922,465,18,15,15.0,2.0,55155,119721
2923,466,18,15,15.0,2.0,55230,119854
2924,467,18,15,15.0,2.0,55305,119987
2925,468,18,15,15.0,2.0,55370,120106
2926,469,18,15,15.0,2.0,55445,120239
2927,470,18,15,15.0,2.0,55520,120372
2928,471,18,15,15.0,2.0,55585,120491
2929,472,18,15,15.0,2.0,55660,120624
2930,473,18,15,15.0,2.0,55735,120757
2931,474,18,15,15.0,2.0,55800,120876
2932,475,18,15,15.0,2.0,55875,121009
2933,476,18,15,15.0,2.0,55950,121142
2934,477,18,15,15.0,2.0,56015,121261
2935,478,18,15,15.0,2.0,56090,121394
2936,479,18,15,15.0,2.0,56165,121527
2937,480,18,15,15.0,2.0,56230,121646
2938,481,18,15,15.0,2.0,56305,121779
2939,482,18,15,15.0,2.0,56380,121912
2940,483,18,15,15.0,2.0,56445,122031
2941,484,18,15,15.0,2.0,56520,122164
2942,485,18,15,15.0,2.0,56595,122297
2943,486,18,15,15.0,2.0,56660,122416
2944,487,18,15,15.0,2.0,56735,122549
2945,488,18,15,15.0,2.0,56810,122682
2946,489,18,15,15.0,2.0,56875,122801
2947,490,18,15,15.0,2.0,56950,122934
2948,491,18,15,15.0,2.0,57025,123067
2949,492,18,15,15.0,2.0,57090,123186
2950,493,18,15,15.0,2.0,57165,123319
2951,494,18,15,15.0,2.0,57240,123452
2952,495,18,15,15.0,2.0,57305,123571
2953,496,18,"15, 15, 14",14.67,2.04,54543,120134
2954,497,18,"15, 14",14.5,2.07,53191,118469
2955,498,18,"15, 14",14.5,2.07,53251,118581
2956,499,18,"15, 14",14.5,2.07,53320,118706
2957,500,18,"15, 14",14.5,2.07,53384,118824
2958,501,18,"15, 14",14.5,2.07,53448,118942
2959,502,18,"15, 14",14.5,2.07,53512,119060
2960,503,18,"15, 14, 14",14.33,2.09,52159,117389
2961,504,"18, 15",14,14.0,2.14,49392,113932
2962,505,"18, 15",14,14.0,2.14,49446,114036
2963,506,"18, 15",14,14.0,2.14,49509,114153
2964,507,"18, 15",14,14.0,2.14,49563,114257
2965,508,"17, 15",14,14.0,2.14,49626,114374
2966,509,"17, 15",14,14.0,2.14,49680,114478
2967,510,"17, 15",14,14.0,2.14,49743,114595
2968,511,"17, 15",14,14.0,2.14,49797,114699
2969,512,"17, 15",14,14.0,2.14,49860,114816
2970,513,"17, 15",14,14.0,2.14,49923,114933
2971,514,"17, 15",14,14.0,2.14,49977,115037
2972,515,"17, 15",14,14.0,2.14,50040,115154
2973,516,"17, 15",14,14.0,2.14,50094,115258
2974,517,17,14,14.0,2.14,50157,115375
2975,518,17,14,14.0,2.14,50211,115479
2976,519,17,14,14.0,2.14,50274,115596
2977,520,17,14,14.0,2.14,50328,115700
2978,521,17,14,14.0,2.14,50391,115817
2979,522,17,14,14.0,2.14,50445,115921
2980,523,17,14,14.0,2.14,50508,116038
2981,524,17,14,14.0,2.14,50571,116155
2982,525,17,14,14.0,2.14,50625,116259
2983,526,17,14,14.0,2.14,50688,116376
2984,527,17,14,14.0,2.14,50742,116480
2985,528,17,14,14.0,2.14,50805,116597
2986,529,17,14,14.0,2.14,50859,116701
2987,530,17,14,14.0,2.14,50922,116818
2988,531,17,14,14.0,2.14,50976,116922
2989,532,17,14,14.0,2.14,51039,117039
2990,533,17,14,14.0,2.14,51102,117156
2991,534,17,14,14.0,2.14,51156,117260
2992,535,17,14,14.0,2.14,51219,117377
2993,536,17,14,14.0,2.14,51273,117481
2994,537,17,14,14.0,2.14,51336,117598
2995,538,17,14,14.0,2.14,51390,117702
2996,539,17,14,14.0,2.14,51453,117819
2997,540,17,14,14.0,2.14,51507,117923
2998,541,17,14,14.0,2.14,51570,118040
2999,542,17,14,14.0,2.14,51633,118157
3000,543,17,14,14.0,2.14,51687,118261
3001,544,17,14,14.0,2.14,51750,118378
3002,545,17,14,14.0,2.14,51804,118482
3003,546,17,14,14.0,2.14,51867,118599
3004,547,17,14,14.0,2.14,51921,118703
3005,548,17,14,14.0,2.14,51984,118820
3006,549,17,14,14.0,2.14,52038,118924
3007,550,17,14,14.0,2.14,52101,119041
3008,551,17,14,14.0,2.14,52164,119158
3009,552,17,14,14.0,2.14,52218,119262
3010,553,17,14,14.0,2.14,52281,119379
3011,554,17,14,14.0,2.14,52335,119483
3012,555,17,14,14.0,2.14,52398,119600
3013,556,17,14,14.0,2.14,52452,119704
3014,557,17,14,14.0,2.14,52515,119821
